book_name,book_image,book_author,book_info
Microsoft Office 2019 Inside Out,http://www.allitebooks.com/wp-content/uploads/2018/11/Microsoft-Office-2019-Inside-Out-400x491.jpg,Joe Habraken,"Conquer Microsoft Office 2019rom the inside out! Dive into Microsoft Office 2019â€nd really put its productivity toolsand services to work! This supremely organized reference packs hundreds of timesaving solutions, tips, and workaroundsâ€ll you need to make the most of Officeâ€™s most powerful tools for productivity and decision-making. Renowned¡­"
,,,
Dynamics 365 CE Essentials,http://www.allitebooks.com/wp-content/uploads/2018/11/Dynamics-365-CE-Essentials.jpg,Sarah Critchley,"Discover how to set up core Dynamics 365 Customer Engagement functionality and learn how to build more customized processes on top of the standard capabilities. This book starts by showing you how to set up the Dynamics 365 Online system for sales, customer service, marketing, field service, and¡­"
,,,
Oracle Warehouse Builder 11g R2,http://www.allitebooks.com/wp-content/uploads/2018/11/Oracle-Warehouse-Builder-11g-R2-400x494.jpg,Bob Griesemer,"This easy-to-understand tutorial covers Oracle Warehouse Builder from the ground up, and taps into the author¡¯s wide experience as a software and database engineer. Written in a relaxed style with step-by-step explanations, lots of screenshots are provided throughout the book. There are numerous tips and helpful hints throughout¡­"
,,,
Data Analysis and Visualization Using Python,http://www.allitebooks.com/wp-content/uploads/2018/11/Data-Analysis-and-Visualization-Using-Python.jpg,Dr. Ossama Embarak,"Look at Python from a data science point of view and learn proven techniques for data visualization as used in making critical business decisions. Starting with an introduction to data science with Python, you will take a closer look at the Python environment and get acquainted with editors¡­"
,,,
Office 2019 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/11/Office-2019-For-Dummies.jpg,Wallace Wang,"Now updated and revised to cover the latest features of Microsoft Office 2019 The worldâ€™s leading suite of business productivity software, Microsoft Office helps users complete common business tasks, including word processing, email, presentations, data management and analysis, and much more. Whether you need accessible instruction on Word,¡­"
,,,
Prototype and Scriptaculous in Action,http://www.allitebooks.com/wp-content/uploads/2018/11/Prototype-and-Scriptaculous-in-Action-400x499.jpg,Bear Bibeault,"Prototype and Scriptaculous are libraries that extend standard Ajax. They make it easier to program Ajax and provide powerful features like drag and drop and animation. In this book, developers learn by playing and see how the libraries work in the real world. As experience with Ajax increases,¡­"
,,,
Beginning iOS AR Game Development,http://www.allitebooks.com/wp-content/uploads/2018/11/Beginning-iOS-AR-Game-Development.jpg,Allan Fowler,Create a fully featured application thatâ€™s both sophisticated and engaging. This book provides a detailed guide in developing augmented reality games that can take advantage of the advanced capabilities of new iOS devices and code while also offering compatibility with still supported legacy devices. No programming experience is¡­
,,,
Adobe AIR in Action,http://www.allitebooks.com/wp-content/uploads/2018/11/Adobe-AIR-in-Action.jpg,Ashley Atkins,"Adobe AIR is one of the hottest topics in rich application development. This exciting new technology is still in beta, but it¡¯s already being adopted by such web giants as eBay. With AIR, Web developers use their existing skills to build rich applications that flow seamlessly between the¡­"
,,,
Agile Office 365,http://www.allitebooks.com/wp-content/uploads/2018/11/Agile-Office-365.jpg,Haniel Croitoru,"Plan, deploy, and run Office 365 using an agile project management approach. This soup-to-nuts guide teaches you how to apply agile techniques in order to make your Office 365 implementation a success, even as the Microsoft Office 365 platform continues to evolve and introduce new features. The author¡¯s¡­"
,,,
Teach Yourself VISUALLY Adobe Photoshop CS6,http://www.allitebooks.com/wp-content/uploads/2018/11/Teach-Yourself-VISUALLY-Adobe-Photoshop-CS6.jpg,Brianna Stuart,"Gets visual learners up to speed on the newest enhancementsin Photoshop Photoshop is constantly evolving, and the newest version offersgreat new tools for photographers. This popular guide gets visuallearners up to speed quickly; previous editions have sold more than150,000 copies. With colorful screen shots illustrating thestep-by-step instructions, this¡­"
,,,
Adobe Photoshop CS6 Top 100 Simplified Tips and Tricks,http://www.allitebooks.com/wp-content/uploads/2018/11/Adobe-Photoshop-CS6-Top-100-Simplified-Tips-and-Tricks-400x471.jpg,Lynette Kent,"Take your Photoshop skills to the next level Users who already know Photoshop basics will love this colorful, step-by-step guide to new tricks and techniques. Filled with beyond-the-essentials techniques that show how to take your Photoshop skills to the next level, it is lavishly illustrated with beautiful photos¡­"
,,,
Teach Yourself VISUALLY Office 2013,http://www.allitebooks.com/wp-content/uploads/2018/11/Teach-Yourself-VISUALLY-Office-2013-400x498.jpg,Elaine Marmel,"Learn the new Microsoft Office suite the easy, visualway Microsoft Office 2013 is a power-packed suite of officeproductivity tools including Word, Excel, PowerPoint, Outlook,Access, and Publisher. This easy-to-use visual guide covers thebasics of all six programs, with step-by-step instructions andfull-color screen shots showing what you should see at¡­"
